"","Sex","Hghst_Grde_Moth","Hghst_Grde_Fath","GPA","CogAbilityRank","Total_Enrlmnt","Num_Bks_Lib","Pct_Disadv","Pct_Attnd","Pct_Dropout","Pct_Stdnt_Female","Pct_Fac_Female","Num_FT_Couns","Num_FT_Fac","Pct_FT_Fac_GrdDeg","Headstart","ClassRankPercentile","Marital_Status","Num_Kids_HH","Self_Inc_2009","Hghst_Deg_Obt"
"408","1",10,12,1.75862068965517,38,1431,12079,3,94,0,49,52,4,66,48,"0",4.15430267062314,"0",0,35000,"2"
"411","1",12,13,3.28571428571429,12,941,13458,30,90,10,61,55,3,58,8,"0",88.3495145631068,"1",1,88000,"3"
"412","1",12,13,3.08695652173913,43,941,13458,30,90,10,61,55,3,58,8,"0",90.6593406593407,"0",3,72000,"4"
"429","0",12,12,3.86666666666667,68,1860,16850,2,94,5,49,50,4,88,80,"0",97.2318339100346,"1",1,115000,"3"
"431","0",12,10,3.57575757575758,83,1860,16850,2,94,5,49,50,4,88,80,"0",90.4844290657439,"1",2,11000,"3"
"436","1",12,16,1.67741935483871,1,1860,16850,2,94,5,49,50,4,88,80,"0",21.2121212121212,"0",0,25000,"3"
"440","0",14,14,2.41935483870968,7,1860,16850,2,94,5,49,50,4,88,80,"0",29.6296296296296,"1",2,0,"1"
"481","0",10,12,3.41379310344828,86,1120,9498,1,11,2,51,45,3,54,50,"0",88.6206896551724,"1",3,12000,"1"
"483","1",12,12,2.1,58,1120,9498,1,11,2,51,45,3,54,50,"0",18.9655172413793,"1",2,60000,"2"
"516","1",12,12,2.69230769230769,38,613,10000,10,97,8,48,42,1,34,9,"0",57.3913043478261,"0",2,12000,"1"
"554","0",12,15,3,59,2035,22000,2,95,1,49,53,6,101,82,"0",49.512987012987,"1",2,51000,"3"
"555","0",16,16,3.84615384615385,98,960,14546,0,97,99,48,64,3,46,52,"0",95.8652373660031,"1",3,18250,"3"
"557","0",14,18,3.46666666666667,69.3333333333333,2035,22000,2,95,1,49,53,6,101,82,"0",84.441087613293,"1",1,70000,"3"
"577","0",16,16,3.20689655172414,24,1980,18527,5,90,20,50,47,5,94,48,"0",88.3435582822086,"1",2,160000,"3"
"605","0",12,12,3.11538461538462,26,1616,29370,27,82,10,49,59,4,106,38,"0",87.6363636363636,"1",0,58000,"2"
"609","0",12,14,2.16,18,1495,15000,65,85,15,65,35,6,90,65,"0",49.6666666666667,"1",0,23000,"2"
"613","1",12,18,3.20689655172414,87,1706,21000,10,94,6,50,57,4,87,55,"0",80.8571428571429,"1",2,92000,"3"
"624","1",6,3,2.48,4,1706,21000,10,94,6,50,57,4,87,55,"1",55.2278820375335,"0",0,55000,"2"
"635","0",16,19,2.96296296296296,91,2044,24873,21,96,5,52,62,6,109,60,"0",82.5358851674641,"1",2,61000,"5"
"693","0",12,16,3.47619047619048,96,942,14000,8,96,7,50,80,4,62,65,"0",83.4745762711864,"1",2,30000,"3"
"700","1",12,16,3.07407407407407,94.5,1260,14000,1,95,1,50,61,4,58,62,"0",60.2739726027397,"1",2,16000,"3"
"701","1",12,16,3.48148148148148,93.5,1260,14000,1,95,1,50,61,4,58,62,"0",80.8724832214765,"1",0,29500,"3"
"706","0",16,16,2.91666666666667,55,1260,14000,1,95,1,50,61,4,58,62,"0",47.1698113207547,"1",2,12000,"3"
"714","0",12,12,3,70.3333333333333,1327,18819,22,90,21,48,73,3,54,65,"0",53.7764350453172,"1",0,68000,"5"
"716","0",10,16,2.83333333333333,55,1250,16115,15,93,50,56,55,4,73,46,"0",73.0769230769231,"1",1,66000,"1"
